Time(s),Desired_X(m),Desired_Y(m),Desired_Theta(rad),Actual_X(m),Actual_Y(m),Actual_Theta(rad)
2.4557113647460938e-05,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.011027,-0.062769,1.4339625134385414
0.10013318061828613,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.011027,-0.062769,1.4327407829621452
0.20026540756225586,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.011027,-0.062769,1.4390239682693247
0.30037617683410645,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.011027,-0.062022,1.4154620233674011
0.40050530433654785,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
0.5006287097930908,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
0.6007473468780518,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
0.7008376121520996,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
0.8008630275726318,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
0.9010050296783447,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
1.001056432723999,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
1.101161003112793,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
1.2012553215026855,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
1.30135178565979,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
1.4015223979949951,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
1.5016567707061768,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
1.60182523727417,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
1.701953649520874,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
1.8021430969238281,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
1.9022431373596191,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
2.00233793258667,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
2.1025054454803467,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
2.202683687210083,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
2.3028807640075684,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
2.4030632972717285,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
2.5032479763031006,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
2.6034069061279297,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
2.7035961151123047,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
2.803767442703247,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
2.9040403366088867,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
3.004171848297119,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
3.1043343544006348,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
3.204464912414551,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
3.3045992851257324,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
3.4047393798828125,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
3.5048463344573975,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
3.605022430419922,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
3.705134630203247,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
3.805305004119873,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
3.9054620265960693,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
4.005582809448242,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
4.105724096298218,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
4.205856561660767,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
4.3059961795806885,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
4.4061279296875,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
4.50618052482605,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
4.606299638748169,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
4.706355094909668,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
4.806454181671143,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
4.906579971313477,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
5.006711483001709,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
5.106848239898682,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
5.20695424079895,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
5.307131767272949,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
5.40726375579834,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
5.507380485534668,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
5.607514142990112,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
5.70764422416687,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
5.807790756225586,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
5.907928705215454,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
6.008025407791138,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
6.108081817626953,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
6.20821738243103,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
6.308353424072266,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
6.408482551574707,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
6.508615016937256,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
6.608667373657227,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
6.708838224411011,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
6.808913707733154,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
6.90904688835144,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
7.0091776847839355,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
7.10919189453125,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
7.209324598312378,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
7.309455394744873,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
7.409586191177368,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
7.5096821784973145,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
7.609733819961548,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
7.709868431091309,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
7.809988498687744,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
7.9100964069366455,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
8.010169506072998,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
8.110270500183105,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
8.210381031036377,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
8.310476064682007,0.010000000000000085,-0.04999999999999278,1.5707963267937055,0.010292,-0.063516,1.528384825971434
