Time(s),Current_Coil_1(A),Current_Coil_2(A),Current_Coil_3(A),Current_Coil_4(A),Current_Coil_5(A),Current_Coil_6(A),Current_Coil_7(A),Current_Coil_8(A),Current_Coil_9(A),Current_Coil_10(A)
2.4557113647460938e-05,-6.637567843527463,1.6880499138486573,3.962049385058699,-14.999916416879573,-1.58634141100938,1.7740481659166079,-2.3996869452460876,-0.73752956108544,6.2932657886965995,2.2213961268710234
0.10013318061828613,-7.064767414399272,1.8268478580389491,4.306622858357921,-14.999364888953483,-2.2122027759694607,2.330142775940636,-2.8566317707248388,-1.2185678435858522,8.334035236662936,2.7936013744598482
0.20026540756225586,-6.992836799871375,1.8253296588359074,4.323320016191216,-14.991138309967205,-2.2266395911227836,2.3134790225624915,-2.8423442338063465,-1.2397920271678384,8.310627406927788,2.766577447377535
0.30037617683410645,-6.412323418656035,1.8598583452850344,4.213137478685524,-13.797139264024615,-2.280652721420556,1.9323347528650259,-2.6046243210861904,-1.3610692680144707,7.540938811887478,2.3381366847927527
0.40050530433654785,-8.129825033112505,1.5935199314954416,4.059630737882015,-14.974959537711335,-3.1307109560587323,1.9752412559626549,-2.7062942832851418,-1.9654556969176293,8.942674546126636,2.6343555153046454
0.5006287097930908,-9.519180570397436,1.4211869835488715,3.577247759007335,-14.997956885140567,-4.98611688915522,1.8791731740129696,-2.856518981374112,-3.5705608684357126,11.301472744414426,2.6636690681202877
0.6007473468780518,-9.44536212244541,1.4297694193321928,3.5954548800145734,-14.923573809008424,-4.982930317942575,1.8702346635409228,-2.847187531020499,-3.576287141371644,11.269257787691867,2.6420876517641125
0.7008376121520996,-9.364505712187785,1.4391702050116593,3.6153979554080014,-14.842098301223977,-4.979439893806941,1.8604440441368504,-2.8369665077617,-3.5825593221353245,11.233971565383715,2.6184487189406545
0.8008630275726318,-9.276640075624035,1.4493859465829664,3.6370699068448182,-14.753559844736587,-4.975646978443812,1.8498047783674756,-2.825859509020475,-3.589375293854744,11.195626742987145,2.59276065569922
0.9010050296783447,-9.181651066482983,1.4604299157227212,3.6604988893218753,-14.657843418379223,-4.9715466457369555,1.8383030459027367,-2.8138521065575746,-3.596743912242953,11.154173510745874,2.5649900916503463
1.001056432723999,-9.07967183335472,1.4722866313715934,3.685652060782886,-14.555083191294552,-4.967144641872815,1.825954967788976,-2.8009611305315167,-3.6046548473484643,11.109669970415801,2.535175952465857
1.101161003112793,-8.970605945796708,1.4849673054055086,3.712553206488802,-14.445181993917538,-4.9624368052773615,1.8127488686521425,-2.78717439200688,-3.61311558044821,11.062074042854654,2.5032900469368204
1.2012553215026855,-8.854496780664382,1.4984668944380737,3.7411916272262484,-14.32818353558312,-4.957425007932167,1.7986900003708366,-2.7724973738752894,-3.6221227462764936,11.011404656327251,2.4693450561824104
1.30135178565979,-8.731335386815621,1.5127864379169065,3.7715695296748737,-14.204078805169146,-4.952108864267238,1.7837772781124384,-2.7569289440389695,-3.6316770400640044,10.95765790354759,2.43333836233003
1.4015223979949951,-8.601060879613344,1.5279330170566505,3.8037019330531643,-14.072806435191906,-4.946485744346113,1.768003331431268,-2.740461407198192,-3.641783183010549,10.900807215853957,2.3952521671526745
1.5016567707061768,-8.463762348595562,1.5438962725788088,3.8375668623842136,-13.934456205588456,-4.940559494596563,1.751378946767179,-2.723106024453396,-3.6524342649378876,10.84089147091666,2.3551125155403865
1.60182523727417,-8.319379378506271,1.5606832289071915,3.873179219525127,-13.788967238038722,-4.934327507724824,1.7338968093069989,-2.704855159235932,-3.663634972991009,10.777884305463227,2.3129017452390466
1.701953649520874,-8.167978707194582,1.5782861264963954,3.910522543105458,-13.636406781913877,-4.92779266388018,1.715564999375259,-2.6857172472977275,-3.675380129503618,10.71181484173831,2.268639366896884
1.8021430969238281,-8.00946510862816,1.596716037185414,3.949620321310965,-13.476678881307281,-4.92095085347432,1.6963719874224372,-2.6656802519428355,-3.687677122315581,10.642641526175229,2.2222975414131794
1.9022431373596191,-7.843985446683339,1.615955885253233,3.99043632911079,-13.309931525754953,-4.91380841458577,1.676335555082293,-2.644762736958899,-3.700514557411424,10.570428445428874,2.173919204088717
2.00233793258667,-7.671460436139863,1.6360148891163833,4.032990122774353,-13.136084822337459,-4.906361925568428,1.6554461028482161,-2.6229546805893302,-3.713898585908352,10.495141001985102,2.1234811760807606
2.1025054454803467,-7.4918056891211995,1.656902860471193,4.077302517178733,-12.95505373638413,-4.898607744567431,1.633693413406566,-2.6002454160955355,-3.7278357547995333,10.416742371703439,2.070958786796318
2.202683687210083,-7.305083243677786,1.6786125862125447,4.123358210191094,-12.766900781446715,-4.890548548907165,1.6110849980511455,-2.576642785167541,-3.742321251041039,10.335259625981097,2.0163701729095385
2.3028807640075684,-7.111282563347609,1.7011452914056118,4.171159800706989,-12.57161534030184,-4.88218388387313,1.5876195810739726,-2.552145455983654,-3.757355892073419,10.25068816705086,1.9597122541113088
2.4030632972717285,-6.9104415513954995,1.7244965690743688,4.220697939613266,-12.369235606728056,-4.8735153852250495,1.5633017516358563,-2.526758219566422,-3.7729367372793687,10.163044534672174,1.9009961113302556
