Time(s),Red_X,Red_Y,Green_X,Green_Y,Blue_X,Blue_Y
0.018155574798583984,150.0,76.0,,,,
0.03932666778564453,150.0,76.0,,,,
0.0609135627746582,150.0,76.0,,,,
0.08235478401184082,151.0,75.0,,,,
0.10342669486999512,153.0,72.0,,,,
0.12520074844360352,158.0,67.0,,,,
0.14657998085021973,171.0,58.0,,,,
0.16783928871154785,176.0,56.0,,,,
0.25420451164245605,169.0,60.0,,,,
0.2757534980773926,168.0,60.0,,,,
0.2965989112854004,168.0,60.0,,,,
0.3184518814086914,168.0,59.0,,,,
0.33977770805358887,168.0,60.0,,,,
0.36094093322753906,169.0,59.0,,,,
2.658560276031494,169.0,59.0,,,,
2.7659623622894287,168.0,60.0,,,,
2.785937786102295,168.0,60.0,,,,
2.8064451217651367,168.0,60.0,,,,
2.827993869781494,168.0,60.0,,,,
2.849224328994751,168.0,60.0,,,,
2.8707528114318848,168.0,60.0,,,,
2.8946409225463867,167.0,60.0,,,,
2.9161996841430664,165.0,61.0,,,,
2.9362101554870605,162.0,64.0,,,,
2.956501007080078,161.0,64.0,,,,
2.9782309532165527,161.0,64.0,,,,
2.9993433952331543,161.0,64.0,,,,
3.020834445953369,161.0,64.0,,,,
3.0424375534057617,161.0,64.0,,,,
3.0638980865478516,161.0,64.0,,,,
3.085573673248291,161.0,64.0,,,,
3.107043743133545,158.0,67.0,,,,
3.1282122135162354,154.0,70.0,,,,
3.1496267318725586,153.0,71.0,,,,
3.1708061695098877,153.0,71.0,,,,
3.1951675415039062,153.0,71.0,,,,
3.217646837234497,153.0,71.0,,,,
3.2360763549804688,153.0,71.0,,,,
3.257333993911743,153.0,72.0,,,,
3.2781894207000732,153.0,72.0,,,,
3.2995858192443848,153.0,72.0,,,,
3.3221347332000732,152.0,73.0,,,,
3.3427464962005615,150.0,76.0,,,,
3.3645262718200684,149.0,77.0,,,,
3.385546922683716,149.0,77.0,,,,
3.4080705642700195,149.0,77.0,,,,
3.4288010597229004,149.0,77.0,,,,
3.4501171112060547,149.0,77.0,,,,
3.4711380004882812,149.0,77.0,,,,
3.492732048034668,148.0,78.0,,,,
3.5141193866729736,147.0,81.0,,,,
3.535935640335083,145.0,83.0,,,,
3.557135820388794,145.0,83.0,,,,
3.578486919403076,145.0,83.0,,,,
3.601731777191162,145.0,83.0,,,,
3.621685743331909,145.0,84.0,,,,
3.6449167728424072,144.0,86.0,,,,
3.666396379470825,143.0,87.0,,,,
3.686232328414917,143.0,87.0,,,,
3.7072854042053223,143.0,87.0,,,,
3.729928970336914,143.0,88.0,,,,
3.753659248352051,143.0,89.0,,,,
3.7742931842803955,142.0,91.0,,,,
3.7942001819610596,142.0,91.0,,,,
3.8155407905578613,142.0,91.0,,,,
3.8357949256896973,141.0,92.0,,,,
3.8604912757873535,141.0,94.0,,,,
3.881589651107788,140.0,95.0,,,,
3.900599956512451,140.0,95.0,,,,
3.921734571456909,140.0,95.0,,,,
3.943098545074463,140.0,97.0,,,,
3.9647393226623535,139.0,99.0,,,,
3.985891103744507,139.0,100.0,,,,
4.01311469078064,139.0,100.0,,,,
4.029801368713379,139.0,100.0,,,,
4.050833463668823,139.0,101.0,,,,
4.075122356414795,138.0,103.0,,,,
4.0942957401275635,138.0,104.0,,,,
4.1149208545684814,138.0,104.0,,,,
4.13700532913208,138.0,104.0,,,,
4.1608593463897705,138.0,104.0,,,,
4.181477308273315,138.0,105.0,,,,
4.202199220657349,138.0,108.0,,,,
4.223439931869507,138.0,110.0,,,,
4.244083404541016,137.0,110.0,,,,
4.265359401702881,138.0,110.0,,,,
4.286618232727051,138.0,111.0,,,,
4.308276891708374,138.0,111.0,,,,
4.3292481899261475,138.0,113.0,,,,
4.352977275848389,138.0,116.0,,,,
4.374494314193726,138.0,117.0,,,,
4.394276142120361,138.0,117.0,,,,
4.41539740562439,138.0,117.0,,,,
4.437744140625,138.0,117.0,,,,
4.458154916763306,138.0,117.0,,,,
4.480069398880005,138.0,117.0,,,,
4.50108528137207,139.0,117.0,,,,
4.522180795669556,139.0,119.0,,,,
4.546210765838623,139.0,121.0,,,,
4.566787242889404,140.0,121.0,,,,
4.587629318237305,140.0,120.0,,,,
4.608959197998047,140.0,120.0,,,,
4.62977409362793,141.0,120.0,,,,
4.651397228240967,141.0,121.0,,,,
4.6730382442474365,141.0,121.0,,,,
4.694178819656372,141.0,121.0,,,,
4.716447353363037,142.0,121.0,,,,
4.7367799282073975,142.0,121.0,,,,
4.759176731109619,142.0,121.0,,,,
4.782076597213745,142.0,121.0,,,,
4.802772760391235,143.0,121.0,,,,
4.822533369064331,143.0,121.0,,,,
4.845078945159912,143.0,121.0,,,,
4.866352319717407,144.0,121.0,,,,
4.888293981552124,144.0,121.0,,,,
4.909216642379761,144.0,121.0,,,,
4.930895090103149,145.0,121.0,,,,
4.9529030323028564,145.0,121.0,,,,
4.972758054733276,146.0,121.0,,,,
4.995121479034424,146.0,121.0,,,,
5.01873517036438,146.0,121.0,,,,
5.104037761688232,148.0,121.0,,,,
5.123633146286011,148.0,121.0,,,,
5.14452338218689,148.0,121.0,,,,
7.7187254428863525,146.0,112.0,,,,
7.745112895965576,146.0,112.0,,,,
7.7642059326171875,146.0,112.0,,,,
7.786273241043091,146.0,112.0,,,,
7.805297613143921,145.0,112.0,,,,
7.828075170516968,145.0,112.0,,,,
7.8486878871917725,145.0,112.0,,,,
7.870802164077759,144.0,112.0,,,,
7.890259742736816,144.0,112.0,,,,
7.9115025997161865,144.0,112.0,,,,
7.932941436767578,144.0,112.0,,,,
7.954410552978516,144.0,112.0,,,,
7.976894378662109,144.0,112.0,,,,
7.9982380867004395,144.0,112.0,,,,
8.018626928329468,144.0,112.0,,,,
8.043309450149536,144.0,112.0,,,,
8.062498092651367,144.0,112.0,,,,
8.08349061012268,144.0,112.0,,,,
8.104546070098877,144.0,112.0,,,,
8.12597393989563,143.0,112.0,,,,
8.150134325027466,143.0,112.0,,,,
8.171287298202515,143.0,112.0,,,,
8.191168069839478,143.0,112.0,,,,
8.212451457977295,143.0,112.0,,,,
8.233068943023682,143.0,112.0,,,,
8.254855394363403,143.0,112.0,,,,
8.2761971950531,142.0,112.0,,,,
8.297694683074951,142.0,112.0,,,,
8.318964958190918,142.0,112.0,,,,
8.342913389205933,142.0,112.0,,,,
8.361864566802979,142.0,112.0,,,,
8.3833589553833,142.0,112.0,,,,
8.404868841171265,142.0,112.0,,,,
8.42655062675476,142.0,112.0,,,,
8.44828462600708,142.0,112.0,,,,
8.470234632492065,142.0,112.0,,,,
8.490936994552612,142.0,112.0,,,,
8.512762546539307,141.0,112.0,,,,
8.53447437286377,141.0,112.0,,,,
8.557427883148193,141.0,112.0,,,,
8.578612327575684,141.0,112.0,,,,
8.59874677658081,141.0,112.0,,,,
8.619663000106812,141.0,112.0,,,,
8.641076803207397,141.0,112.0,,,,
8.662343978881836,141.0,112.0,,,,
8.683608293533325,141.0,112.0,,,,
8.705023050308228,141.0,112.0,,,,
8.72633671760559,141.0,112.0,,,,
8.74796748161316,140.0,112.0,,,,
8.769402503967285,140.0,112.0,,,,
8.793442249298096,140.0,112.0,,,,
8.81641435623169,140.0,112.0,,,,
8.834015846252441,140.0,112.0,,,,
8.855854272842407,140.0,112.0,,,,
8.876934289932251,140.0,112.0,,,,
8.89833402633667,140.0,112.0,,,,
8.919716835021973,140.0,112.0,,,,
8.94257140159607,140.0,112.0,,,,
8.962908267974854,140.0,113.0,,,,
8.98638653755188,140.0,114.0,,,,
9.0057053565979,140.0,114.0,,,,
9.02689504623413,140.0,114.0,,,,
9.048521518707275,140.0,114.0,,,,
9.06983494758606,140.0,114.0,,,,
9.091503143310547,140.0,115.0,,,,
9.112825632095337,140.0,117.0,,,,
9.134235382080078,140.0,117.0,,,,
9.155572414398193,140.0,117.0,,,,
9.178097248077393,140.0,117.0,,,,
9.198570966720581,140.0,117.0,,,,
