Time(s),Red_X,Red_Y,Green_X,Green_Y,Blue_X,Blue_Y
0.01362466812133789,204.0,141.0,,,,
0.03694653511047363,204.0,141.0,,,,
0.05772805213928223,204.0,142.0,,,,
0.0780489444732666,204.0,153.0,,,,
3.552837371826172,206.0,223.0,,,,
3.5739200115203857,206.0,223.0,,,,
3.595308780670166,206.0,222.0,,,,
3.616851806640625,207.0,217.0,,,,
3.638334035873413,207.0,214.0,,,,
3.6598281860351562,207.0,214.0,,,,
3.6816246509552,207.0,214.0,,,,
3.7026233673095703,207.0,213.0,,,,
3.7241873741149902,207.0,208.0,,,,
3.745600938796997,207.0,205.0,,,,
3.7670915126800537,207.0,204.0,,,,
3.7886452674865723,207.0,204.0,,,,
3.8100733757019043,207.0,203.0,,,,
3.833618402481079,208.0,198.0,,,,
3.854165554046631,208.0,195.0,,,,
3.8752241134643555,208.0,195.0,,,,
3.89601731300354,208.0,194.0,,,,
3.9177682399749756,208.0,191.0,,,,
3.9387741088867188,208.0,185.0,,,,
3.9603962898254395,209.0,184.0,,,,
3.9826738834381104,209.0,184.0,,,,
4.003093242645264,209.0,183.0,,,,
4.024545431137085,209.0,179.0,,,,
4.045894145965576,210.0,173.0,,,,
4.067356824874878,210.0,172.0,,,,
4.088931560516357,210.0,172.0,,,,
4.110307216644287,210.0,172.0,,,,
4.13215446472168,212.0,170.0,,,,
4.1532042026519775,212.0,164.0,,,,
4.17472505569458,213.0,160.0,,,,
4.196188926696777,216.0,160.0,,,,
4.2174975872039795,216.0,160.0,,,,
4.239479064941406,218.0,159.0,,,,
4.2607786655426025,220.0,156.0,,,,
4.281917572021484,221.0,148.0,,,,
4.303740501403809,225.0,144.0,,,,
4.324866771697998,226.0,144.0,,,,
4.346286058425903,228.0,144.0,,,,
4.368204355239868,230.0,143.0,,,,
4.389402151107788,231.0,142.0,,,,
4.411062240600586,233.0,135.0,,,,
4.432156801223755,233.0,131.0,,,,
4.453688383102417,234.0,132.0,,,,
4.475171089172363,234.0,135.0,,,,
4.496676683425903,233.0,136.0,,,,
8.722097635269165,242.0,152.0,,,,
8.743305683135986,242.0,153.0,,,,
8.764831066131592,247.0,148.0,,,,
8.808811902999878,239.0,152.0,,,,
8.829299449920654,239.0,151.0,,,,
8.87233281135559,238.0,151.0,,,,
8.893682718276978,238.0,151.0,,,,
8.915173530578613,237.0,150.0,,,,
8.93986201286316,237.0,152.0,,,,
8.960423946380615,237.0,151.0,,,,
9.00256633758545,239.0,150.0,,,,
9.043855905532837,237.0,145.0,,,,
9.06622862815857,237.0,145.0,,,,
9.086564064025879,236.0,145.0,,,,
9.129663228988647,237.0,144.0,,,,
9.15456485748291,236.0,138.0,,,,
9.282174110412598,236.0,136.0,,,,
9.302715539932251,237.0,131.0,,,,
9.45144248008728,239.0,120.0,,,,
9.474697828292847,239.0,107.0,,,,
9.495289087295532,235.0,109.0,,,,
9.516117095947266,237.0,106.0,,,,
9.537423372268677,237.0,107.0,,,,
9.558962345123291,236.0,108.0,,,,
9.580579042434692,239.0,105.0,,,,
9.602540493011475,238.0,106.0,,,,
9.623569250106812,238.0,102.0,,,,
9.645590782165527,240.0,90.0,,,,
9.665982007980347,240.0,85.0,,,,
9.6879243850708,239.0,85.0,,,,
9.71043610572815,238.0,85.0,,,,
9.730569124221802,239.0,85.0,,,,
9.751930713653564,239.0,84.0,,,,
9.77619218826294,239.0,85.0,,,,
9.797849655151367,240.0,84.0,,,,
9.81698727607727,240.0,84.0,,,,
9.837765455245972,240.0,79.0,,,,
9.858999729156494,237.0,70.0,,,,
9.882901906967163,236.0,67.0,,,,
9.9050931930542,236.0,68.0,,,,
9.924407720565796,236.0,67.0,,,,
9.946710586547852,236.0,67.0,,,,
9.966777801513672,236.0,67.0,,,,
9.987721920013428,236.0,67.0,,,,
10.009981870651245,236.0,67.0,,,,
10.030445575714111,236.0,66.0,,,,
10.055060863494873,235.0,63.0,,,,
10.075728416442871,234.0,54.0,,,,
10.09546971321106,233.0,52.0,,,,
10.116212368011475,232.0,52.0,,,,
10.138633012771606,232.0,52.0,,,,
10.15970253944397,232.0,52.0,,,,
10.181002140045166,232.0,52.0,,,,
10.20249891281128,232.0,52.0,,,,
10.224066734313965,231.0,51.0,,,,
10.245503425598145,231.0,51.0,,,,
10.266742467880249,231.0,51.0,,,,
10.288057088851929,230.0,48.0,,,,
11.939346075057983,188.0,29.0,,,,
11.961149454116821,188.0,30.0,,,,
11.982282161712646,187.0,30.0,,,,
12.004509210586548,187.0,30.0,,,,
12.025475263595581,187.0,31.0,,,,
12.05016303062439,187.0,35.0,,,,
12.06844687461853,185.0,42.0,,,,
12.089913845062256,182.0,43.0,,,,
12.111217737197876,182.0,43.0,,,,
12.132474184036255,182.0,43.0,,,,
12.154471158981323,182.0,47.0,,,,
12.175561904907227,182.0,54.0,,,,
12.19699740409851,182.0,56.0,,,,
12.218364715576172,183.0,56.0,,,,
12.240026712417603,183.0,56.0,,,,
12.261437177658081,183.0,58.0,,,,
12.282791376113892,183.0,64.0,,,,
12.304612398147583,184.0,70.0,,,,
12.325554609298706,184.0,71.0,,,,
12.347028493881226,183.0,71.0,,,,
12.368621110916138,183.0,71.0,,,,
12.389933109283447,183.0,71.0,,,,
12.411309480667114,184.0,75.0,,,,
12.433078289031982,183.0,87.0,,,,
12.454383611679077,180.0,91.0,,,,
12.475811004638672,179.0,91.0,,,,
12.497377157211304,179.0,91.0,,,,
12.518724203109741,180.0,91.0,,,,
12.54007339477539,179.0,91.0,,,,
12.561765670776367,179.0,91.0,,,,
12.583033561706543,179.0,92.0,,,,
12.60485577583313,180.0,97.0,,,,
12.647563219070435,177.0,137.0,,,,
12.733577966690063,177.0,137.0,,,,
12.754858016967773,177.0,137.0,,,,
12.81892728805542,178.0,168.0,,,,
12.840680599212646,178.0,171.0,,,,
12.861997365951538,178.0,171.0,,,,
12.883419275283813,178.0,171.0,,,,
12.904951333999634,178.0,171.0,,,,
12.92628026008606,178.0,171.0,,,,
12.950281620025635,178.0,171.0,,,,
12.970941066741943,178.0,171.0,,,,
12.990995168685913,178.0,172.0,,,,
13.01219892501831,178.0,174.0,,,,
13.033719062805176,178.0,185.0,,,,
13.055166721343994,179.0,192.0,,,,
13.076517581939697,179.0,192.0,,,,
13.097947120666504,179.0,192.0,,,,
13.119265794754028,179.0,192.0,,,,
13.144965171813965,179.0,192.0,,,,
13.164595603942871,179.0,192.0,,,,
13.18421459197998,179.0,193.0,,,,
13.205437660217285,179.0,192.0,,,,
13.228593349456787,179.0,193.0,,,,
13.248402833938599,179.0,192.0,,,,
13.26962924003601,179.0,193.0,,,,
13.29366397857666,179.0,193.0,,,,
