Time(s),Current_Coil_1(A),Current_Coil_2(A),Current_Coil_3(A),Current_Coil_4(A),Current_Coil_5(A),Current_Coil_6(A),Current_Coil_7(A),Current_Coil_8(A),Current_Coil_9(A),Current_Coil_10(A)
0.0,-0.40964008938730667,-0.06923963299832876,0.07891478400092941,0.41486027552274696,0.05165259563701778,-0.08030478764522846,-0.009373994815602308,0.10428977847656258,-0.12158530024490942,-0.0014898582593136235
0.1,-0.4277816118829808,-0.07330708669830573,0.0732408405771537,0.43885365898029455,0.07382620639792697,-0.12014673279853773,0.0013335526402620875,0.02916403428435792,-0.025840654915650584,0.00505961589808884
0.2,-0.4811763179557491,-0.08266215327939075,0.05478697567019663,0.5284022466429328,0.14975464742734923,-0.2362567876255463,0.06258179029350622,-0.20957489088910644,0.2914652538425879,0.01572884135114167
0.30000000000000004,-0.5653068773629499,-0.08887475784575327,0.019993203092768877,0.7311979772055989,0.3041548478098857,-0.4154425399432664,0.25599636113342156,-0.6431898374045655,0.9071515968761139,0.00448570584867848
0.4,-0.6686200063040718,-0.07882855783053373,-0.03458413423500822,1.1081202037746738,0.5658176055613013,-0.6276882014213414,0.6943789597371229,-1.2947505824993073,1.9030933832568087,-0.06746921005783706
0.5,-0.7691785155147188,-0.03769633833327153,-0.10872717987283864,1.7018487025022824,0.9483254589031441,-0.8204453801122019,1.4773876184353165,-2.1401676720602034,3.297985965808583,-0.24065344250318116
0.6000000000000001,-0.8351872759674632,0.04516020784907551,-0.1948446781036084,2.495725592033874,1.427124405121678,-0.9223384249460477,2.626140468111655,-3.071418560110247,4.971654998154249,-0.5380916417690232
0.7000000000000001,-0.8326772954269899,0.1685910560417979,-0.27643533814251814,3.381398814740874,1.9249584174250876,-0.8626320198451128,4.020967659688045,-3.888777858024931,6.625858605649294,-0.943208644081111
0.8,-0.7399298526782562,0.3144025022657147,-0.33124392656327595,4.163273798216792,2.3212588855394216,-0.6038006644136731,5.386953513979625,-4.346931275741124,7.832980959128064,-1.3879721979501094
0.9,-0.5621522355103113,0.449489146316347,-0.33948663672924717,4.617155931703012,2.4921878310336867,-0.17136747855673642,6.364220050357848,-4.252279452452366,8.187073256620765,-1.7654332491294655
1.0,-0.33623980278060034,0.5371392934517673,-0.2936358832462064,4.586072240574314,2.366900286078903,0.3410949458964933,6.65134900896079,-3.5660146719513652,7.4969021328484535,-1.9687116554542248
1.1,-0.11935630105931935,0.5528075016268493,-0.20370665318551776,4.060762730055516,1.9674491785023045,0.8028717163649507,6.148788706162073,-2.4458403665427433,5.904983823233578,-1.9385842902114172
1.2000000000000002,0.03429937818569321,0.4951430065800142,-0.09389161575097787,3.191058013448132,1.4041124215581542,1.0996966721855685,5.011274267256197,-1.1889647625912403,3.843942239729631,-1.6910172771356984
1.3,0.09521675600097954,0.3853772926990757,0.007909160642190488,2.21747706239878,0.8264883447889166,1.1790426882700462,3.5726954821797605,-0.10520302740461021,1.8474494693288037,-1.3069707102505013
1.4000000000000001,0.06650024806297164,0.25605370411730277,0.0813149016568003,1.3663403203986664,0.3606159180322316,1.0617746577092302,2.1931421490016176,0.6037474976143942,0.33132331506198426,-0.8923364814780915
1.5,-0.024158388569781853,0.13679073537002157,0.1192916082417653,0.7704016088727319,0.06808451625284997,0.8190339897948153,1.1223058497733387,0.8948507762496316,-0.5328876845685007,-0.5341253882357964
1.6,-0.1405611410984996,0.04504113726992693,0.126900735960334,0.4493423589642153,-0.057284958870921866,0.5344361063912171,0.44492901094342463,0.8551041018420159,-0.8095122958858482,-0.27612219511631936
1.7000000000000002,-0.25186160740754304,-0.015217785834065276,0.11576000910662582,0.341103840330893,-0.06517496070716641,0.2744289081603969,0.10940946786549116,0.6320429226837213,-0.7012279749641603,-0.11979548374923021
1.8,-0.33868774870172147,-0.0491143472727267,0.09827840520930146,0.35153453551376235,-0.0178766375801016,0.07737905725542923,-0.0033252676047183243,0.369698530351721,-0.4388140471324003,-0.040979159128020415
1.9000000000000001,-0.39216495552317054,-0.06490454064799805,0.0841007023305412,0.39476571808182037,0.03199367976059523,-0.04174239881420557,-0.014948774923930305,0.17384632602317668,-0.2081532002974554,-0.009170752968664705
2.0,-0.4096321931530694,-0.06924443638946991,0.0789106971732697,0.41485275759281026,0.051634883936951884,-0.08029772399645255,-0.009370100139266885,0.10432221546900432,-0.12161693263853954,-0.0014858930096568134
2.1,-0.39069828039346605,-0.08138763874640573,0.06827812706489562,0.39517990711058837,0.00556227502543853,-0.06283505789768486,-0.002216480313538185,0.18564255779567032,-0.20211626145533224,0.009578445132716802
2.2,-0.3535505527718348,-0.11284442444283269,0.03725222574832856,0.3364951423571229,-0.12879577683289012,-0.02216531446580338,-0.014848333202707157,0.38840896552488763,-0.41679689935322367,0.05027812973734163
2.3000000000000003,-0.3503561336101473,-0.1513437029619596,-0.013089149776446811,0.2372416519777574,-0.3465408787448505,0.011387382409639728,-0.1409999722791643,0.6085353626929199,-0.7013787340750802,0.1428474743197315
2.4000000000000004,-0.4598062551215034,-0.17624258652812683,-0.07827972726850341,0.10068393580046128,-0.6279991774800612,-0.009709941850649445,-0.5146130397903239,0.676937346945705,-0.9430432483836912,0.31551894885282045
2.5,-0.7665569528536863,-0.16106752383658723,-0.14783301177398844,-0.05843853048605849,-0.9274318086727443,-0.14017524772316012,-1.264876766881939,0.38755745217350224,-0.9887041728814837,0.5880498123423822
2.6,-1.3237737484291208,-0.08112884940071548,-0.20442334000216333,-0.20964593874896104,-1.169662744975827,-0.4211433466837925,-2.4447493477630493,-0.4346745515167473,-0.6822683076642262,0.9527822312727462
2.7,-2.108228665986849,0.07418750092110403,-0.22711691473269408,-0.30992958701486933,-1.2642569166278526,-0.8526122538030332,-3.9563182327899655,-1.8344566474846584,0.06717798561142677,1.3598082924830857
2.8000000000000003,-2.993651608305129,0.2897142088108945,-0.1991642266700322,-0.31726711990673767,-1.1393439313984561,-1.3733870993695623,-5.521915705964825,-3.6421544973145252,1.2121073958594708,1.7191420965839284
2.9000000000000004,-3.771430063856771,0.5220293845343754,-0.1173513902970917,-0.21056452778426474,-0.7819695030408111,-1.8669474906208785,-6.746966380672091,-5.47352549561843,2.5374695779308,1.9278126627043133
3.0,-4.2250696539801655,0.7120214377464714,0.002945260171262583,-0.0049067786080655785,-0.2596193271779397,-2.200573972277273,-7.271074649720097,-6.8502542780795705,3.715637483793313,1.9139180065215344
3.1,-4.2252530831002915,0.8087355974273122,0.13170258597190873,0.24951672454942855,0.2972675942636614,-2.2818525212659773,-6.933634818577333,-7.398033858200069,4.434587633309414,1.6734424540747077
3.2,-3.788869140504276,0.7913671730840895,0.2362692043408615,0.4869902459355354,0.747547919958538,-2.0997955194400197,-5.851565201383836,-7.010255962632597,4.530916860537535,1.2752396463339306
3.3000000000000003,-3.0646307707301976,0.6760870208670124,0.2946647348321253,0.653568657523864,0.9968290806587411,-1.725053481780223,-4.357798046473427,-5.877122570809135,4.048018360329383,0.8295002527975177
3.4000000000000004,-2.2576138786823843,0.5046748836221593,0.302523078443452,0.7261310084950405,1.0271573340740732,-1.2714106754573844,-2.8433851333476676,-4.371231779717781,3.190560736154446,0.43970409504955954
3.5,-1.5427130780312002,0.3238816622051356,0.2709310487779276,0.7142257153725983,0.8872771943245255,-0.8452426855762822,-1.6029734692124673,-2.873314190825736,2.21576512355456,0.16643115722007792
