Time(s),Current_Coil_1(A),Current_Coil_2(A),Current_Coil_3(A),Current_Coil_4(A),Current_Coil_5(A),Current_Coil_6(A),Current_Coil_7(A),Current_Coil_8(A),Current_Coil_9(A),Current_Coil_10(A)
0.0,-3.45457152388463,-1.662291659094556,1.851519309751911,3.644695318714534,1.8153236818706797,-1.9277356824029608,0.06790727892535497,1.6412913347549443,-1.562638790193254,0.12149648005156506
0.1,-3.4545715239097934,-1.6622916591346726,1.851519309726996,3.6446953187003244,1.8153236818676584,-1.9277356824073644,0.06790727888419917,1.641291334726386,-1.5626387902258088,0.1214964800092723
0.2,-3.4545715239048795,-1.6622916591203825,1.8515193097349916,3.6446953186905873,1.815323681846334,-1.9277356824228753,0.0679072788876133,1.641291334714692,-1.5626387902316858,0.12149648000359056
0.30000000000000004,-3.454571523926568,-1.6622916591573453,1.851519309703528,3.644695318673585,1.8153236818441578,-1.9277356824290544,0.0679072788472111,1.6412913346878997,-1.562638790262039,0.12149647996400857
0.4,-3.4545715239248254,-1.6622916591441985,1.851519309713547,3.644695318666724,1.815323681823623,-1.9277356824466134,0.0679072788509716,1.6412913346773774,-1.5626387902693262,0.12149647995850164
0.5,-3.454571523943853,-1.6622916591799048,1.8515193096808609,3.644695318646656,1.8153236818194955,-1.9277356824501444,0.06790727881179871,1.6412913346502438,-1.5626387902967398,0.12149647992078928
0.6000000000000001,-3.4545715239453507,-1.662291659168297,1.851519309692447,3.6446953186429116,1.8153236818004375,-1.9277356824694698,0.06790727881559476,1.6412913346411109,-1.5626387903054673,0.12149647991537271
0.7000000000000001,-3.4545715239612673,-1.6622916592018226,1.851519309658565,3.6446953186203275,1.815323681794708,-1.927735682471568,0.06790727877750477,1.6412913346136122,-1.5626387903306602,0.1214964798789823
0.8,-3.4545715239657326,-1.6622916591920163,1.8515193096712141,3.644695318619422,1.8153236817774274,-1.927735682492018,0.06790727878108677,1.6412913346058275,-1.562638790340603,0.1214964798736019
0.9,-3.454571523979133,-1.6622916592235228,1.8515193096367946,3.6446953185947697,1.815323681770073,-1.9277356824931777,0.06790727874392821,1.6412913345777702,-1.5626387903642176,0.12149647983805291
1.0,-3.4545715239859733,-1.6622916592154267,1.851519309650013,3.6446953185961317,1.8153236817545102,-1.9277356825142136,0.06790727874716769,1.6412913345711289,-1.5626387903750623,0.1214964798326781
1.1,-3.4545715239975228,-1.662291659245295,1.8515193096153462,3.6446953185699447,1.815323681745751,-1.9277356825149206,0.06790727871069754,1.6412913345425184,-1.5626387903976713,0.12149647979761127
1.2000000000000002,-3.454571524006099,-1.6622916592386061,1.8515193096288132,3.6446953185729556,1.8153236817316123,-1.9277356825361966,0.06790727871358714,1.6412913345367484,-1.5626387904091315,0.12149647979222844
1.3,-3.454571524016381,-1.6622916592672594,1.8515193095940494,3.6446953185456787,1.8153236817217469,-1.9277356825367147,0.06790727867759488,1.6412913345076665,-1.5626387904311296,0.12149647975741953
1.4000000000000001,-3.4545715240261643,-1.6622916592616321,1.8515193096075988,3.6446953185498314,1.8153236817086873,-1.9277356825580583,0.06790727868018824,1.6412913345025213,-1.562638790442994,0.12149647975202502
1.5,-3.4545715240355994,-1.6622916592894215,1.8515193095728013,3.644695318521805,1.815323681698003,-1.9277356825585144,0.06790727864451834,1.6412913344730753,-1.5626387904646244,0.12149647971735127
1.6,-3.454571524046203,-1.6622916592845567,1.8515193095863611,3.6446953185267312,1.81532368168572,-1.9277356825798535,0.06790727864688399,1.6412913344683642,-1.5626387904767514,0.12149647971194583
1.7000000000000002,-3.454571524055076,-1.6622916593117445,1.8515193095515567,3.6446953184981985,1.8153236816744476,-1.927735682580297,0.06790727861143021,1.6412913344386515,-1.5626387904981565,0.12149647967734374
1.8,-3.4545715240662327,-1.6622916593074137,1.851519309565101,3.6446953185036453,1.8153236816627096,-1.927735682601608,0.06790727861362934,1.6412913344342372,-1.5626387905104548,0.12149647967192931
1.9000000000000001,-3.4545715240747272,-1.6622916593341803,1.8515193095303009,3.6446953184747746,1.8153236816510252,-1.927735682602056,0.06790727857832436,1.6412913344043378,-1.5626387905317158,0.12149647963736962
2.0,-3.4545652237235194,-1.6622865132539486,1.8515442386551793,3.644688331346903,1.8153326300650878,-1.9277332911711014,0.0679092238842462,1.6412826037431778,-1.5626454062938913,0.12148601297521334
2.1,-3.4502986326171836,-1.658615213985571,1.868580983766076,3.6399390320949854,1.8214413066657986,-1.9260754757266196,0.06925731161333022,1.6352913485404863,-1.5672175607542298,0.1142916735784505
2.2,-3.497470835401392,-1.7167597466461006,1.883861161508789,3.535284526111503,1.7735500154191493,-1.9922833636084751,-0.038071717971552385,1.4860657347674358,-1.7075701687988525,-0.06138006337275024
2.3000000000000003,-3.429175241874298,-1.650990679462539,2.1591420442562006,3.451828244478307,1.8752661929394827,-1.9686638918542114,-0.013596043646366782,1.388484622521533,-1.7831064160028043,-0.1773012073603972
2.4000000000000004,-3.3349596384473563,-1.5569667770045175,2.5337072408138805,3.323007387797624,2.0204585186039408,-1.944470681650744,0.02410093465217122,1.2555131221415274,-1.8864196952530194,-0.3321211350811328
2.5,-3.2030649155089943,-1.4227028522402048,3.042354335002569,3.1181265280204324,2.2313269929931927,-1.9276107867947965,0.08330146439135756,1.0748719186082827,-2.0270647677741542,-0.536405717500687
2.6,-2.986949361632556,-1.1981965397383973,3.8271815444119595,2.729413132069095,2.5915141022334653,-1.9413297206946092,0.19339786485878896,0.7955899584735473,-2.245526696579344,-0.8384994307624702
