Time(s),Desired_Magnet1_Y(m),Actual_Magnet1_Y(m),Desired_Magnet3_Y(m),Actual_Magnet3_Y(m)
1.049041748046875e-05,-0.03169999999981778,-0.03169999999981778,-0.031699999999818415,-0.031699999999818415
0.10014510154724121,-0.03169978235062345,-0.0339,-0.03169682929899431,-0.0339
0.20218706130981445,-0.03169832151594768,-0.0339,-0.031675292418257915,-0.0339
0.3022902011871338,-0.03169454280794029,-0.0339,-0.031618801578531086,-0.0339
0.4024195671081543,-0.03168754736662957,-0.0339,-0.03151264610886246,-0.0339
0.5025978088378906,-0.03167660337343075,-0.0339,-0.03134392318436562,-0.0339
0.6026818752288818,-0.03166113726465482,-0.0339,-0.031101468564157516,-0.0339
0.7027971744537354,-0.031640724945017,-0.0339,-0.03077578732929662,-0.0332
0.8040101528167725,-0.03161508300114556,-0.0339,-0.030358984620721344,-0.0332
0.904080867767334,-0.03158405991509033,-0.0332,-0.029844696377188215,-0.0332
1.004206657409668,-0.031547627277831454,-0.0324,-0.029228020073210275,-0.0332
1.1043341159820557,-0.03150587100278799,-0.0324,-0.028505445456995324,-0.0324
1.204418659210205,-0.03145898253932653,-0.0324,-0.027674785288384157,-0.0324
1.3045439720153809,-0.03140725008626992,-0.0324,-0.026735106076788993,-0.0317
1.404623031616211,-0.03135104980540582,-0.0317,-0.025686658819131618,-0.0324
1.5047073364257812,-0.03129083703499548,-0.0317,-0.024530809737781788,-0.0324
1.6047935485839844,-0.031227137503282217,-0.0317,-0.023269971018495445,-0.0324
1.7049102783203125,-0.03116053854200025,-0.0317,-0.021907531548353086,-0.0324
1.8049945831298828,-0.031091680299883212,-0.031,-0.020447787653697997,-0.031
1.9051060676574707,-0.03102124695617286,-0.0295,-0.018895873838074544,-0.0259
2.0052199363708496,-0.03094995793412767,-0.0281,-0.017257693520166494,-0.0179
2.1053671836853027,-0.030878559114531585,-0.0281,-0.015539849771735304,-0.0164
2.205420732498169,-0.030807814049202582,-0.0281,-0.013749576055558406,-0.0164
2.3054721355438232,-0.030738495174501303,-0.0281,-0.011894666963367478,-0.0157
2.405543088912964,-0.030671375024839798,-0.0273,-0.009983408953786792,-0.0084
2.505647897720337,-0.03060721744619011,-0.0273,-0.008024511090271453,0.0011
2.605733633041382,-0.03054676880959292,-0.0281,-0.0060270357790456995,0.0077
2.7058463096618652,-0.030490749224666176,-0.0281,-0.00400032950704122,0.0069
2.805933713912964,-0.030439843753113854,-0.0281,-0.001953953579835426,0.0062
2.90604567527771,-0.03039469362223446,-0.0273,0.00010238514041022509,0.0091
3.006093740463257,-0.030355887438429787,-0.0273,0.002158903497012003,0.0142
3.1062448024749756,-0.030323952400713505,-0.0273,0.00420581130082553,0.0171
3.2063522338867188,-0.030299345514219835,-0.0273,0.0062333805923075756,0.0171
3.3064424991607666,-0.030282444803712182,-0.0281,0.008232014903577674,0.0164
3.406494379043579,-0.030273540527091816,-0.0288,0.010192318520479894,0.0171
3.506622552871704,-0.030272826388906476,-0.0288,0.012105165744644542,0.02
3.60671067237854,-0.030280390753859045,-0.0295,0.013961770155549823,0.0208
3.7068402767181396,-0.03029620786031622,-0.0302,0.015753753872583626,0.02
3.8069381713867188,-0.0303201290338171,-0.031,0.01747321681710514,0.0186
3.906949996948242,-0.030351873900581895,-0.0317,0.01911280597450666,0.0186
4.007069826126099,-0.030391021601020543,-0.0324,0.020665784656275187,0.02
4.107192039489746,-0.03043700200324137,-0.0324,0.02212610176205424,0.02
4.207285642623901,-0.030489086916559736,-0.0324,0.02348846104170549,0.0186
4.307403564453125,-0.030546381305006677,-0.0332,0.02474839035737049,0.0186
4.407472133636475,-0.030607814500837584,-0.0339,0.025902310945532407,0.02
4.507911920547485,-0.030672131418040784,-0.0339,0.02694760667907769,0.0222
4.607980251312256,-0.030737883765846276,-0.0339,0.02788269332935781,0.0222
4.70807409286499,-0.030803421262234322,-0.0332,0.028707087828250932,0.0215
4.808090925216675,-0.03086688284744412,-0.0332,0.02942147753022368,0.023
4.908214807510376,-0.03092618789748242,-0.0332,0.030027789474392774,0.0259
5.008334398269653,-0.030979027437632218,-0.0332,0.030529259646586787,0.0281
5.108458757400513,-0.031022855355961387,-0.0332,0.030930502241407844,0.0281
5.208585739135742,-0.031022855355961387,-0.0332,0.030930502241407844,0.0281
5.308709383010864,-0.031054879616831302,-0.0324,0.031237578924293317,0.0302
5.408796072006226,-0.03107205347440553,-0.0317,0.03145806809357753,0.0302
5.508845567703247,-0.03107106668615846,-0.031,0.03160113414255351,0.0302
5.608869552612305,-0.031048336726383928,-0.031,0.03167759672153461,0.0302
5.708921194076538,-0.030999999999657742,-0.031,0.03169999999989571,0.0302
5.809048175811768,-0.030921345799249014,-0.031,0.03168116498852011,0.0302
5.90917181968689,-0.030800481740380366,-0.0295,0.031627326645897826,0.0302
6.009270191192627,-0.030625719782878286,-0.0295,0.03154237690041861,0.0302
6.109355449676514,-0.030386868561218288,-0.0288,0.03143006353497615,0.0302
6.209477424621582,-0.030075176051566566,-0.0288,0.03129399018696801,0.0302
6.3095927238464355,-0.029683272238821518,-0.0288,0.031137616348295732,0.031
6.409668445587158,-0.029205111783655365,-0.0288,0.030964257365364727,0.031
6.509755373001099,-0.028635916689555754,-0.0281,0.03077708443908434,0.0302
6.6098668575286865,-0.027972118969867395,-0.0273,0.030579124624867934,0.0302
6.709995269775391,-0.02721130331483364,-0.0273,0.030373260832632823,0.0302
6.8100426197052,-0.026352149758638047,-0.0273,0.03016223182680026,0.0302
6.9101715087890625,-0.025394376346446004,-0.0273,0.029948632226295506,0.0302
7.01028847694397,-0.02433868180144636,-0.0251,0.02973491250454784,0.0302
7.110412120819092,-0.02318668819189303,-0.023,0.029523378989490565,0.031
7.210461616516113,-0.02194088359814651,-0.0222,0.02931619386356098,0.0302
7.3105573654174805,-0.020604564779715544,-0.023,0.029115375163700406,0.0302
7.410644292831421,-0.019181779842298744,-0.0222,0.028922796781354253,0.0302
7.510771989822388,-0.01767727090482617,-0.0208,0.028740188462472,0.0302
7.610917806625366,-0.016096416766500893,-0.0164,0.028569135807507154,0.0302
7.711089134216309,-0.014445175573840627,-0.0135,0.028411080271417317,0.0302
7.811212062835693,-0.012730027487719344,-0.0142,0.028267319163664213,0.0302
7.911381721496582,-0.010957917350408873,-0.0142,0.028139005648213658,0.0302
8.01155138015747,-0.009136197352620463,-0.0128,0.028027148743535596,0.0302
8.111677885055542,-0.007272569700546406,-0.0077,0.027932613322604046,0.0302
8.211771011352539,-0.005375029282901657,-0.0033,0.027856120112897266,0.0302
8.31186819076538,-0.0034518063379654247,-0.0033,0.02779824569639761,0.0302
